"Country","AGR","MIN","MAN","PS","CON","SER","FIN","SPS","TC"
1,55.5,19.4,0,0,3.4,3.3,15.3,0,3
2,7.4,0.3,26.9,1.2,8.5,19.1,6.7,23.3,6.4
3,2.6,0.2,20.8,0.8,6.3,16.9,8.7,36.9,6.8
4,19,0,35,0,6.7,9.4,1.5,20.9,7.5
5,5.6,0.1,20.4,0.7,6.4,14.5,9.1,36.3,7
6,8.5,0.2,19.3,1.2,6.8,14.6,8.6,33.2,7.5
7,5.1,0.3,20.2,0.9,7.1,16.7,10.2,33.1,6.4
8,22.2,0.5,19.2,1,6.8,18.2,5.3,19.8,6.9
9,15.3,28.9,0,0,6.4,13.3,0,27.3,8.8
10,13.8,0.6,19.8,1.2,7.1,17.8,8.4,25.5,5.8
11,8.4,1.1,21.9,0,9.1,21.6,4.6,28,5.3
12,4.2,0.1,19.2,0.7,0.6,18.5,11.5,38.3,6.8
13,5.8,1.1,14.6,1.1,6.5,17.6,7.6,37.5,8.1
14,23.6,3.9,24.1,0.9,6.3,10.3,1.3,24.5,5.2
15,11.5,0.5,23.6,0.7,8.2,19.8,6.3,24.6,4.8
16,22,2.6,37.9,2,5.8,6.9,0.6,15.3,6.8
17,9.9,0.5,21.1,0.6,9.5,20.1,5.9,26.7,5.8
18,3.2,0.3,19,0.8,6.4,14.2,9.4,39.5,7.2
19,5.6,0,24.7,0,9.2,20.5,10.7,23.1,6.2
20,2.2,0.7,21.3,1.2,7,20.2,12.4,28.4,6.5
21,18.5,0,28.8,0,10.2,7.9,0.6,25.6,8.4
22,5,2.2,38.7,2.2,8.1,13.8,3.1,19.1,7.8
